point_cloud,n_pts,dim,filtration,tau_q,tau
gaussian,10,5,vr,0.95,2.742321446412577
gaussian,10,5,dtm,0.95,2.170512757222565
gaussian,10,10,vr,0.95,4.226085433600838
gaussian,10,10,dtm,0.95,3.6231465462995747
gaussian,10,20,vr,0.95,6.053031237640802
gaussian,10,20,dtm,0.95,5.43344145365421
gaussian,50,5,vr,0.95,1.9848934040611446
gaussian,50,5,dtm,0.95,1.4445102825895777
gaussian,50,10,vr,0.95,3.2606881414849584
gaussian,50,10,dtm,0.95,2.6641533776616377
gaussian,50,20,vr,0.95,5.149314244627032
gaussian,50,20,dtm,0.95,4.456816172563509
gaussian,100,5,vr,0.95,1.7022174671948183
gaussian,100,5,dtm,0.95,1.2484521302074405
gaussian,100,10,vr,0.95,2.9871889643871277
gaussian,100,10,dtm,0.95,2.386478731253794
gaussian,100,20,vr,0.95,4.819752253584985
gaussian,100,20,dtm,0.95,4.117921855726622
noisy_sphere_0.1,10,5,vr,0.95,1.484556173796112
noisy_sphere_0.1,10,5,dtm,0.95,1.3962060495966728
noisy_sphere_0.1,10,10,vr,0.95,1.6647197195656191
noisy_sphere_0.1,10,10,dtm,0.95,1.5942713554847203
noisy_sphere_0.1,10,20,vr,0.95,1.9077658415172771
noisy_sphere_0.1,10,20,dtm,0.95,1.8448427386103872
noisy_sphere_0.1,50,5,vr,0.95,0.9324145212110146
noisy_sphere_0.1,50,5,dtm,0.95,0.8935464525295486
noisy_sphere_0.1,50,10,vr,0.95,1.2670230505598934
noisy_sphere_0.1,50,10,dtm,0.95,1.2347698263196476
noisy_sphere_0.1,50,20,vr,0.95,1.5919134032898363
noisy_sphere_0.1,50,20,dtm,0.95,1.5601375265272217
noisy_sphere_0.1,100,5,vr,0.95,0.7738874160632321
noisy_sphere_0.1,100,5,dtm,0.95,0.7459868656140121
noisy_sphere_0.1,100,10,vr,0.95,1.1385924202395556
noisy_sphere_0.1,100,10,dtm,0.95,1.1117006315755502
noisy_sphere_0.1,100,20,vr,0.95,1.4888832772412843
noisy_sphere_0.1,100,20,dtm,0.95,1.4601765562156228
noisy_sphere_0.3,10,5,vr,0.95,2.023918672964043
noisy_sphere_0.3,10,5,dtm,0.95,1.8606366450788134
noisy_sphere_0.3,10,10,vr,0.95,2.478761688250216
noisy_sphere_0.3,10,10,dtm,0.95,2.36044388868925
noisy_sphere_0.3,10,20,vr,0.95,3.0883875791676356
noisy_sphere_0.3,10,20,dtm,0.95,2.945025986064483
noisy_sphere_0.3,50,5,vr,0.95,1.277520678148941
noisy_sphere_0.3,50,5,dtm,0.95,1.2159010699537365
noisy_sphere_0.3,50,10,vr,0.95,1.8967242697767774
noisy_sphere_0.3,50,10,dtm,0.95,1.7990741035042481
noisy_sphere_0.3,50,20,vr,0.95,2.5896122501204752
noisy_sphere_0.3,50,20,dtm,0.95,2.467188159930622
noisy_sphere_0.3,100,5,vr,0.95,1.065940559125348
noisy_sphere_0.3,100,5,dtm,0.95,1.0068005812918979
noisy_sphere_0.3,100,10,vr,0.95,1.6972377944539456
noisy_sphere_0.3,100,10,dtm,0.95,1.6159775467442659
noisy_sphere_0.3,100,20,vr,0.95,2.4191378279031164
noisy_sphere_0.3,100,20,dtm,0.95,2.3185072831105464
noisy_sphere_0.5,10,5,vr,0.95,2.553734049734987
noisy_sphere_0.5,10,5,dtm,0.95,2.3524681742972167
noisy_sphere_0.5,10,10,vr,0.95,3.333171004618227
noisy_sphere_0.5,10,10,dtm,0.95,3.0716436858273166
noisy_sphere_0.5,10,20,vr,0.95,4.335732638366291
noisy_sphere_0.5,10,20,dtm,0.95,4.030331901729408
noisy_sphere_0.5,50,5,vr,0.95,1.6262513933438882
noisy_sphere_0.5,50,5,dtm,0.95,1.494985839734428
noisy_sphere_0.5,50,10,vr,0.95,2.5275548180337832
noisy_sphere_0.5,50,10,dtm,0.95,2.3388705204768785
noisy_sphere_0.5,50,20,vr,0.95,3.611318019000029
noisy_sphere_0.5,50,20,dtm,0.95,3.365511634185533
noisy_sphere_0.5,100,5,vr,0.95,1.3770006126408971
noisy_sphere_0.5,100,5,dtm,0.95,1.2677528613189866
noisy_sphere_0.5,100,10,vr,0.95,2.2660091899505588
